employee_id,store_id,first_name,last_name,role,job_family,employment_type,start_date,contracted_hours_per_week,base_hourly_rate,insurance_enrolled,flexibility_preference,is_high_leave_balance,is_new_starter,is_high_flexibility
1,7,Joanne,O'Brien,Store Management,Management,part_time,2024-11-11,30.0,44.78,True,0.254,False,False,False
2,1,Gary,Turnbull,Grocery / Nightfill,Grocery,full_time,2025-04-05,39.6,26.49,True,0.214,False,False,False
3,3,Paul,McEwen,Checkout / Front End,Checkout,full_time,2026-05-25,37.9,27.46,True,0.676,False,False,False
4,1,Douglas,Stone,Grocery / Nightfill,Grocery,part_time,2022-05-24,15.4,27.48,True,0.49,False,False,False
5,7,Gary,Goodwin,Checkout / Front End,Checkout,part_time,2026-05-25,15.6,25.97,True,0.419,False,False,False
6,6,Douglas,Henderson,Checkout / Front End,Checkout,casual,2026-05-25,0.0,27.35,True,0.606,False,False,False
7,7,Craig,Reid,Checkout / Front End,Checkout,part_time,2023-11-29,19.5,27.11,True,0.755,False,False,False
8,8,Madison,Thomas,Grocery / Nightfill,Grocery,part_time,2026-05-25,23.1,25.86,False,0.3,False,False,False
9,5,Mark,McIntosh,Fresh Foods,Fresh,part_time,2025-02-07,8.5,29.17,True,0.521,False,False,False
10,11,Yvonne,Dobson,Grocery / Nightfill,Grocery,full_time,2025-08-09,35.8,25.68,True,0.952,False,False,False
11,12,Nikau,Fox,Grocery / Nightfill,Grocery,full_time,2025-06-26,34.6,26.2,True,0.383,False,False,False
12,2,Phoebe,Hughes,Other / Support,Support,part_time,2016-04-17,12.2,25.08,True,0.811,False,False,False
13,12,Hamish,Anderson,Department Supervisor,Supervisor,full_time,2022-07-08,37.6,29.35,True,0.513,False,False,False
14,3,Sonia,Steele,Fresh Foods,Fresh,part_time,2021-11-29,8.0,28.78,True,0.74,False,False,False
15,3,Carl,Newman,Checkout / Front End,Checkout,part_time,2026-05-25,21.7,25.89,True,0.861,False,False,False
16,7,Elizabeth,Tapp,Store Management,Management,casual,2024-10-15,18.0,38.31,True,0.783,False,False,False
17,1,Blake,Stewart,Checkout / Front End,Checkout,part_time,2022-01-03,16.5,25.36,False,0.82,False,False,False
18,5,Justin,Duncan,Grocery / Nightfill,Grocery,part_time,2025-12-22,8.0,25.97,True,0.367,False,False,False
19,3,Julie,Schwass,Store Management,Management,casual,2019-10-16,4.0,44.89,True,0.865,False,False,False
20,6,Gavin,Jones,Fresh Foods,Fresh,casual,2026-05-25,21.9,29.03,False,0.432,False,False,False
21,10,Jacob,Baldick,Online / Click & Collect,Online,part_time,2023-08-12,8.0,25.25,True,0.677,False,False,False
22,12,Christine,Low,Fresh Foods,Fresh,part_time,2024-07-28,15.9,27.59,True,0.985,False,False,True
23,3,Heidi,Francis,Fresh Foods,Fresh,part_time,2022-03-03,10.9,27.1,True,0.897,False,False,True
24,7,Ronald,Davies,Checkout / Front End,Checkout,full_time,2024-09-29,39.5,26.65,True,0.694,False,False,False
25,6,Michelle,Norton,Checkout / Front End,Checkout,full_time,2023-07-25,35.8,26.07,True,0.986,False,False,True
26,5,Mikayla,Johnston,Grocery / Nightfill,Grocery,full_time,2023-06-15,38.5,25.7,False,0.323,False,False,False
27,8,Michael,Thomas,Checkout / Front End,Checkout,casual,2025-01-17,16.5,26.15,False,0.812,False,False,False
28,12,Grant,Robson,Store Management,Management,part_time,2021-02-22,29.0,41.31,False,0.661,False,False,False
29,5,Lisa,Herd,Checkout / Front End,Checkout,part_time,2021-12-07,16.8,26.25,True,0.873,False,False,False
30,1,Trevor,Smith,Fresh Foods,Fresh,casual,2022-12-24,15.0,27.12,True,0.61,False,False,False
31,11,Raymond,Ritchie,Department Supervisor,Supervisor,part_time,2024-01-28,9.1,32.91,True,0.861,False,False,True
32,12,Anna,Day,Department Supervisor,Supervisor,part_time,2020-02-24,25.1,32.47,True,0.833,False,False,False
33,4,Mereana,Dickson,Grocery / Nightfill,Grocery,full_time,2023-06-14,35.6,25.52,True,0.539,False,False,False
34,7,Daniel,Read,Grocery / Nightfill,Grocery,full_time,2023-09-05,36.1,26.9,True,0.695,False,False,False
35,11,Karen,Craven,Other / Support,Support,part_time,2022-05-12,17.9,29.2,True,0.478,False,False,False
36,7,Jessica,Turnbull,Online / Click & Collect,Online,part_time,2017-04-08,8.6,25.54,True,0.982,False,False,False
37,6,Maria,Williams,Department Supervisor,Supervisor,part_time,2026-05-25,19.4,31.5,True,0.427,False,False,False
38,12,Jayden,McEwen,Store Management,Management,casual,2020-03-26,19.7,36.56,False,0.546,False,False,False
39,10,Caleb,Hughes,Department Supervisor,Supervisor,part_time,2026-05-25,19.8,32.44,True,0.644,False,False,False
40,7,Carter,Miles,Checkout / Front End,Checkout,part_time,2022-01-01,8.5,25.34,False,0.38,False,False,False
41,2,Melissa,Oliver,Fresh Foods,Fresh,part_time,2017-08-28,17.3,28.02,True,0.693,False,False,False
42,6,Nicholas,McLean,Checkout / Front End,Checkout,part_time,2021-02-17,22.5,25.39,True,0.975,False,False,False
43,9,Holly,Allen,Fresh Foods,Fresh,full_time,2022-02-24,32.8,27.3,True,0.512,False,False,False
44,4,Kenneth,Gilmore,Other / Support,Support,part_time,2024-06-28,11.6,29.72,True,0.707,False,False,False
45,7,Elizabeth,Gray,Fresh Foods,Fresh,full_time,2022-08-06,39.7,26.72,True,0.015,False,False,False
46,8,Brianna,Hayes,Grocery / Nightfill,Grocery,part_time,2023-07-03,19.6,27.13,True,0.611,False,False,False
47,2,Tony,MacDonald,Checkout / Front End,Checkout,casual,2025-03-18,15.3,27.95,False,0.551,False,False,False
48,7,James,Priest,Other / Support,Support,full_time,2023-08-16,40.0,29.31,True,0.44,False,False,False
49,9,Ryan,Boyce,Checkout / Front End,Checkout,full_time,2022-01-23,38.7,25.08,True,0.858,False,False,False
50,3,Sarah,Kelly,Checkout / Front End,Checkout,part_time,2025-02-24,21.9,27.37,False,0.895,False,False,True
51,7,Levi,Buchanan,Checkout / Front End,Checkout,part_time,2025-04-11,30.0,24.61,True,0.581,False,False,False
52,9,Richard,Dean,Checkout / Front End,Checkout,part_time,2026-05-25,16.7,25.88,True,0.537,False,False,False
53,1,Renee,Gilbert,Grocery / Nightfill,Grocery,part_time,2021-06-12,13.2,27.11,True,0.198,False,False,False
54,8,Patrick,Herd,Fresh Foods,Fresh,casual,2020-12-13,15.4,28.1,True,0.371,False,False,False
55,4,Stephen,Paul,Checkout / Front End,Checkout,part_time,2021-12-15,20.6,26.36,True,0.831,False,False,False
56,5,Heather,Nicholas,Checkout / Front End,Checkout,part_time,2019-08-10,14.8,25.86,True,0.156,False,False,False
57,8,Ellie,Warner,Checkout / Front End,Checkout,casual,2022-06-01,3.7,27.34,False,0.451,False,False,False
58,1,Caleb,Fletcher,Grocery / Nightfill,Grocery,full_time,2021-06-10,40.0,26.63,True,0.532,False,False,False
59,1,Holly,Buchanan,Checkout / Front End,Checkout,full_time,2021-09-21,38.3,26.14,True,1.0,False,False,False
60,6,Sean,Wood,Online / Click & Collect,Online,full_time,2022-12-28,35.7,28.12,True,0.789,False,False,False
61,12,Bruce,Moore,Checkout / Front End,Checkout,part_time,2024-05-24,23.5,25.3,False,0.497,False,False,False
62,1,Raewyn,Waters,Checkout / Front End,Checkout,part_time,2015-08-12,17.3,25.1,False,0.907,True,False,False
63,10,Kevin,Davies,Grocery / Nightfill,Grocery,full_time,2024-02-22,36.9,26.43,False,0.457,False,False,False
64,1,Matthew,McLean,Grocery / Nightfill,Grocery,part_time,2024-10-29,21.4,27.42,False,0.914,False,False,True
65,6,Gregory,Day,Checkout / Front End,Checkout,full_time,2021-04-22,34.3,25.37,False,0.321,False,False,False
66,6,Tracey,O'Neill,Checkout / Front End,Checkout,part_time,2021-11-21,20.1,25.37,True,0.856,False,False,False
67,6,Richard,Guard,Store Management,Management,part_time,2026-05-25,29.5,34.23,False,0.531,False,False,False
68,1,Reuben,Harper,Checkout / Front End,Checkout,part_time,2019-02-07,20.8,27.51,True,0.394,False,False,False
69,10,Lucy,Boyce,Fresh Foods,Fresh,part_time,2022-12-31,15.7,26.02,True,0.572,False,False,False
70,4,Thomas,O'Connell,Grocery / Nightfill,Grocery,part_time,2026-05-20,15.0,26.01,False,0.681,False,True,False
71,10,Stephen,Price,Grocery / Nightfill,Grocery,part_time,2018-11-22,15.5,27.47,True,0.887,False,False,True
72,8,Natasha,Ferguson,Grocery / Nightfill,Grocery,full_time,2020-09-10,36.9,24.54,True,0.742,False,False,False
73,7,Glenda,Davey,Department Supervisor,Supervisor,full_time,2026-05-25,36.6,31.34,True,0.492,False,False,False
74,4,Andrea,Turner,Department Supervisor,Supervisor,casual,2017-01-03,19.3,31.07,True,0.756,False,False,False
75,8,David,Ferguson,Checkout / Front End,Checkout,casual,2020-08-03,0.0,27.33,False,0.717,False,False,False
76,12,Wiremu,Moore,Grocery / Nightfill,Grocery,part_time,2022-09-23,23.2,25.57,True,0.607,False,False,False
77,12,James,Kenny,Checkout / Front End,Checkout,full_time,2017-08-10,36.6,25.94,False,0.523,False,False,False
78,11,Michael,Manson,Grocery / Nightfill,Grocery,casual,2022-03-09,15.0,25.0,True,0.653,False,False,False
79,3,Neville,Johnston,Online / Click & Collect,Online,casual,2022-10-14,3.0,27.59,False,0.741,False,False,False
80,8,Kevin,Dobson,Checkout / Front End,Checkout,part_time,2024-10-22,26.0,27.25,True,1.0,False,False,False
81,5,Harrison,Williams,Grocery / Nightfill,Grocery,part_time,2020-10-31,25.5,24.91,False,0.827,False,False,False
82,12,Thomas,Waghorn,Other / Support,Support,full_time,2021-03-03,39.9,26.66,True,0.835,False,False,False
83,12,Jason,Wells,Checkout / Front End,Checkout,full_time,2022-08-25,33.7,27.63,True,1.0,False,False,False
84,11,Scott,MacDonald,Grocery / Nightfill,Grocery,casual,2025-03-23,18.6,24.51,True,0.734,False,False,False
85,2,Jeremy,Field,Online / Click & Collect,Online,part_time,2026-05-01,20.4,26.05,True,0.89,False,True,True
86,4,Eden,Campbell,Checkout / Front End,Checkout,full_time,2022-12-02,33.5,26.44,True,0.775,False,False,False
87,9,Mark,Millar,Checkout / Front End,Checkout,part_time,2026-05-25,17.9,25.67,False,0.398,False,False,False
88,9,Vanessa,Hardie,Checkout / Front End,Checkout,part_time,2026-05-25,20.2,25.45,False,0.522,False,False,False
89,5,Richard,Smith,Store Management,Management,full_time,2020-11-20,38.9,39.36,False,0.509,False,False,False
90,2,Trevor,Little,Checkout / Front End,Checkout,casual,2026-05-25,13.4,25.14,True,0.762,False,False,False
91,2,Cole,Simmons,Checkout / Front End,Checkout,casual,2022-01-14,14.3,26.35,True,0.9,False,False,True
92,9,Xavier,Morrison,Checkout / Front End,Checkout,part_time,2024-03-23,26.8,26.97,False,0.65,False,False,False
93,6,Megan,Barrett,Checkout / Front End,Checkout,part_time,2018-07-05,25.4,26.51,False,0.859,False,False,False
94,6,Kathleen,Baker,Fresh Foods,Fresh,part_time,2024-04-10,8.0,25.42,True,0.81,False,False,False
95,10,Noah,Baxter,Checkout / Front End,Checkout,part_time,2020-08-02,16.1,27.46,False,0.584,False,False,False
96,1,Amy,Rowe,Fresh Foods,Fresh,part_time,2023-12-19,17.0,25.79,True,0.473,False,False,False
97,10,Hugo,Anderson,Fresh Foods,Fresh,full_time,2022-05-02,33.1,28.44,False,0.87,False,False,False
98,4,Peter,Phillips,Department Supervisor,Supervisor,part_time,2020-05-03,18.6,30.16,False,0.79,False,False,False
99,12,Ashleigh,McNabb,Checkout / Front End,Checkout,full_time,2024-03-05,40.0,27.24,False,0.967,False,False,True
100,12,Emma,Jordan,Store Management,Management,part_time,2019-07-05,11.5,35.3,True,0.551,False,False,False
101,7,Daniel,Edwards,Fresh Foods,Fresh,part_time,2025-11-16,20.0,25.84,False,0.656,False,False,False
102,4,Donald,Ramsay,Checkout / Front End,Checkout,full_time,2021-10-02,35.2,26.24,True,0.791,False,False,False
103,3,Gareth,Holmes,Department Supervisor,Supervisor,full_time,2019-09-29,35.8,28.2,False,0.82,False,False,False
104,3,David,Webby,Store Management,Management,part_time,2020-08-01,26.9,35.6,True,0.682,False,False,False
105,12,Michael,Rowlands,Checkout / Front End,Checkout,full_time,2016-07-25,36.1,27.03,False,0.749,False,False,False
106,3,Dylan,Smith,Store Management,Management,casual,2025-02-20,15.7,45.4,False,0.634,False,False,False
107,6,Melissa,Mortimer,Grocery / Nightfill,Grocery,part_time,2026-05-25,8.0,24.74,True,0.472,False,False,False
108,6,Adam,McIntosh,Fresh Foods,Fresh,part_time,2025-11-17,29.2,28.97,True,0.563,False,False,False
109,9,Mareikura,Edwards,Other / Support,Support,part_time,2020-08-01,21.6,28.89,False,0.624,False,False,False
110,11,Paul,Gill,Grocery / Nightfill,Grocery,full_time,2021-02-07,37.0,27.11,True,0.612,False,False,False
111,7,Michael,McCallum,Department Supervisor,Supervisor,casual,2022-05-15,16.6,32.19,True,0.205,False,False,False
112,10,Warren,MacDonald,Checkout / Front End,Checkout,part_time,2026-04-16,9.5,26.86,True,0.533,False,False,False
113,7,Maria,Campbell,Department Supervisor,Supervisor,casual,2020-03-29,21.5,31.15,True,0.632,False,False,False
114,6,Vicki,Powell,Fresh Foods,Fresh,full_time,2026-05-25,36.7,27.94,False,0.558,False,False,False
115,2,Joshua,McLachlan,Checkout / Front End,Checkout,part_time,2018-12-27,16.8,27.72,True,0.566,False,False,False
